id_lnp_id,group_paper_doi,group_lipid_key,target_transfection_active,fold
1,10.1038/s41467-024-50619-z,structure_missing_lnp_1,1,0
2,10.1038/s41467-024-50619-z,CCCCCCCCC/C=C/CCCCCCCCC(=O)N(N)CCCCCCCCCC,1,1
3,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)N(C)N,1,1
4,10.1038/s41467-024-50619-z,CCCCCCC/C=C/CCCCCCCCC(C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC)N(C)N,1,2
5,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)NCCCCN(CCCC)CCCCC,1,0
6,10.1038/s41467-024-50619-z,CCCCCCCCC/C=C/CCCCCCCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCCCCCC,1,3
7,10.1038/s41467-024-50619-z,CCCCCCCC/C=C/C(=O)OCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,2
8,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)NN1CCCCCC1,1,2
9,10.1038/s41467-024-50619-z,CCCCCCCC/C=C/C(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,4
10,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCC(C)CCCCC)NCCN(C(C)C)C(C)C,1,2
11,10.1038/s41467-024-50619-z,CCCCCCC/C=C/C(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,1
12,10.1038/s41467-024-50619-z,CCCCCCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)NCCN(C(C)C)C(C)C,1,0
13,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCCOC(=O)CCC(C)CCCCC)NCCCCN(CC)CC,1,4
14,10.1038/s41467-024-50619-z,CCCCCCC/C=C/C(=O)OCCCC(NCCCCN(CC)CC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,4
15,10.1038/s41467-024-50619-z,CCCCCCCC/C=C/CCCCCCC(=O)OCCC(NCCCCN(CC)CC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,2
16,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)NCCN1CCCCCC1,1,3
17,10.1038/s41467-024-50619-z,CCCCCCC/C=C/C(=O)OCCC(NCCN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,1
18,10.1038/s41467-024-50619-z,CCCCCCCCCCCCCCCCCCNC(=O)C(CCOC(=O)CCC(C)CCCCC)NCCN1CCCCCC1,1,4
19,10.1038/s41467-024-50619-z,CCCCCCCC/C=C/CCCCCCC(=O)OCCC(NCCN(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,0,3
20,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCCOC(=O)CCC(C)CCCCC)NCCCN(C)C,1,1
21,10.1038/s41467-024-50619-z,CCCCCCC/C=C/C(=O)OCCCC(NCCCN(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,4
22,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCCOC(=O)CCC(C)CCCCC)NCCCN(C)C,1,1
23,10.1038/s41467-024-50619-z,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCOC(=O)CCC(C)CCCCC)NCCN(C)C,1,3
24,10.1038/s41467-024-50619-z,CCCCCCC/C=C/C(=O)OCCC(NCCN(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,1,2
25,10.1038/s41467-024-50619-z,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCCOC(=O)CCC(C)CCCCC)NC1CCN(C(C)C)CC1,0,2
