lnp_id,transfection_active,paper_doi,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,md_source_lnp_id,md_composition_family,md_match_level,md_ratio_match,md_reuse_note
193,1,10.1038/mtna.2014.61,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP193,MC3_DSPC_CHOL_DMGPEG2000,direct_id,source_id_exact; ratios taken from dataset row,Exact LNP ID has an uploaded MD descriptor row
194,1,10.1038/mtna.2014.61,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP194,MC3_DSPC_CHOL_DMGPEG2000,direct_id,source_id_exact; ratios taken from dataset row,Exact LNP ID has an uploaded MD descriptor row
195,0,10.1038/mtna.2014.61,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP195,MC3_DSPC_CHOL_DMGPEG2000,direct_id,source_id_exact; ratios taken from dataset row,Exact LNP ID has an uploaded MD descriptor row
782,1,10.1002/btm2.10580,SM-102,DPPC,Cholesterol,DMPE-PEG2000,LNP782,SM102_DPPC_CHOL_DMPEPEG2000,direct_id,source_id_exact; ratios taken from dataset row,Exact LNP ID has an uploaded MD descriptor row
875,1,https://doi.org/10.1101/2023.11.09.565872,SM-102,DPPC,Cholesterol,DMPE-PEG2000,LNP782,SM102_DPPC_CHOL_DMPEPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP782 is the selected representative
783,0,10.1002/btm2.10580,SM-102,DSPC,Cholesterol,DMG-PEG2000,LNP854,SM102_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP854 selected over alternate LNP509
911,1,https://doi.org/10.1101/2024.09.27.614859,SM-102,DSPC,Cholesterol,DMG-PEG2000,LNP854,SM102_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP854 selected over alternate LNP509
636,0,10.1021/jacs.2c12893,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP858,MC3_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP858 is the selected representative
687,0,https://doi.org/10.1038/s41563-020-00886-0,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP858,MC3_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP858 is the selected representative
781,1,10.1002/btm2.10580,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP858,MC3_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP858 is the selected representative
922,0,https://doi.org/10.1073/pnas.2303567120,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP858,MC3_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP858 is the selected representative
923,0,https://doi.org/10.1073/pnas.2303567120,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP858,MC3_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP858 is the selected representative
931,0,https://doi.org/10.1073/pnas.2303567120,DLin-MC3-DMA,DSPC,Cholesterol,DMG-PEG2000,LNP858,MC3_DSPC_CHOL_DMGPEG2000,four_lipid_components_plus_cargo_class,not_required_for_component_level_reuse,Same four lipid components and mRNA; LNP858 is the selected representative
