model,scheme,n,macro_f1,mcc,pr_auc_minority_inactive,roc_auc,macro_f1_ci_low,macro_f1_ci_high,mcc_ci_low,mcc_ci_high,pr_auc_minority_inactive_ci_low,pr_auc_minority_inactive_ci_high
ft_transformer,grouped,451,0.4151322562762335,-0.006937094423150694,0.32344107423377083,0.5089294904786412,0.31816635088541606,0.5297054662562156,-0.13020405207598298,0.1464928222152485,0.23967406041784137,0.4356105839240651
ft_transformer,random,451,0.5658158353498296,0.2140961249600309,0.3827780832483172,0.6582990221307257,0.4861107262065465,0.6237441710286655,0.07472241357650367,0.32640876183954837,0.3111693061169817,0.4728840656541084
lightgbm,grouped,451,0.42659869083585095,-0.14649189668809098,0.20745476662450632,0.40743695316520845,0.36636906698943916,0.4976884803802516,-0.25536001621586357,-0.002530802083227298,0.14590192527326595,0.3066729505225348
lightgbm,random,451,0.6726872274497182,0.34585132816081354,0.5825234352486058,0.7796834791559444,0.5976958012835497,0.7299675479074648,0.19575729750579068,0.4616474267782241,0.497511075923682,0.6729169019546946
logistic,grouped,451,0.4328083028083028,-0.13242160223646673,0.23615569831663943,0.3917009778692743,0.36046732932319,0.5040021429231283,-0.2605949719279651,0.010788747866424012,0.17241947853612732,0.3387548286686916
logistic,random,451,0.6954080703794405,0.40337303496806726,0.5302385233563232,0.7705995882655687,0.6264457981873565,0.752859057583865,0.27145647562813097,0.5189817014998558,0.4494226393686476,0.627971109917316
majority,grouped,451,0.4262086513994911,0.0,0.22088588654458885,0.38515182707153883,0.3987899412774204,0.4458051321619695,0.0,0.0,0.1495885836890493,0.3351853272429521
majority,random,451,0.4262086513994911,0.0,0.25589706994248623,0.496551724137931,0.3987899412774204,0.4458051321619695,0.0,0.0,0.20073466676150467,0.32578031765347365
mlp,grouped,451,0.4312736443883985,-0.024052435325577503,0.28387555415256865,0.5268270715388574,0.398361518321742,0.45965134116375606,-0.09784211356795566,0.12200562743018313,0.2230533698066152,0.3656188013756808
mlp,random,451,0.5852466103360189,0.20797734048323244,0.44080435023053266,0.6903113741636644,0.5197214730317544,0.6420444237568554,0.07969984603562832,0.3187218578646651,0.36065403974485144,0.5367192112247176
random_forest,grouped,451,0.5517116741389497,0.10863266245593367,0.27874595008268055,0.47142305712815236,0.4864842167240262,0.6103631045556174,-0.013009128556197963,0.22167438376713713,0.21378305774433953,0.37355566851926914
random_forest,random,451,0.669322657461539,0.33873614573882327,0.5292628682783582,0.7737776634071024,0.5939539572798058,0.7297804801571107,0.1895785714477357,0.46149357179823786,0.4430280698950853,0.6299564594880029
tabpfn,grouped,451,0.41881443298969073,-0.0886109303511511,0.24075634367719592,0.4291044776119403,0.3896595483983896,0.438134555631006,-0.13187334927031205,-0.05930798054347882,0.18442000643505704,0.31919612339800557
tabpfn,random,451,0.5665029408911738,0.22748116739514596,0.5318444989636433,0.760434894493052,0.49567131846108403,0.6588749308097649,0.10206447222759345,0.39219327405496085,0.4513216101003977,0.6388108817894643
xgboost,grouped,451,0.39107020919982616,-0.20546062359074754,0.1922069622195611,0.35095213587236235,0.3514228926145564,0.43255870841487276,-0.2958279586021177,-0.057381205486648955,0.1357398228097356,0.30929165754143495
xgboost,random,451,0.6757775821596244,0.37203336935181014,0.5744953086020862,0.7708826556870818,0.6020277758799997,0.7311666921535503,0.22725834555304253,0.47612090115342287,0.4890670258519092,0.6560511024113576
