permutation,is_identity,assignment,macro_f1,mcc,inactive_pr_auc,roc_auc
1,True,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP782;LNP854<-LNP854;LNP858<-LNP858,0.7187500000000002,0.45584230583855184,0.49404761904761907,0.5584415584415585
2,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP782;LNP854<-LNP858;LNP858<-LNP854,0.6062500000000001,0.2279211529192759,0.40674603174603174,0.4025974025974026
3,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP854;LNP854<-LNP782;LNP858<-LNP858,0.7187500000000002,0.45584230583855184,0.5107142857142857,0.6168831168831168
4,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP854;LNP854<-LNP858;LNP858<-LNP782,0.6062500000000001,0.2279211529192759,0.40674603174603174,0.4025974025974026
5,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP858;LNP854<-LNP782;LNP858<-LNP854,0.2173913043478261,-0.5640760748177664,0.3148809523809524,0.12987012987012989
6,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP858;LNP854<-LNP854;LNP858<-LNP782,0.2173913043478261,-0.5640760748177664,0.2942460317460317,0.05194805194805194
7,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP195;LNP854<-LNP854;LNP858<-LNP858,0.43750000000000006,-0.11396057645963795,0.6755952380952381,0.6168831168831168
8,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP195;LNP854<-LNP858;LNP858<-LNP854,0.7187500000000002,0.45584230583855184,0.5325396825396825,0.6363636363636365
9,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP854;LNP854<-LNP195;LNP858<-LNP858,0.6989966555183946,0.40291148201269017,0.6904761904761905,0.7727272727272727
10,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP854;LNP854<-LNP858;LNP858<-LNP195,0.55,0.11396057645963795,0.37896825396825395,0.34415584415584427
11,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP858;LNP854<-LNP195;LNP858<-LNP854,0.3812500000000001,-0.22792115291927598,0.37896825396825395,0.3441558441558441
12,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP858;LNP854<-LNP854;LNP858<-LNP195,0.1,-0.7977240352174653,0.28869047619047616,0.03246753246753248
13,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP854;LNP782<-LNP195;LNP854<-LNP782;LNP858<-LNP858,0.26875000000000004,-0.45584230583855206,0.4345238095238095,0.4415584415584415
