model,metric,mean,standard_deviation
baseline,roc_auc,0.75,0.5
baseline,pr_auc_active,0.8958333333333333,0.20833333333333337
baseline,pr_auc_inactive,0.8333333333333334,0.3333333333333333
baseline,balanced_accuracy,0.625,0.25
baseline,macro_f1,0.5125,0.33260336739125174
baseline,f1_active,0.45,0.5259911279353168
baseline,mcc,0.25,0.5
baseline,sensitivity,0.5,0.5773502691896257
baseline,specificity,0.75,0.5
baseline,precision_active,0.41666666666666663,0.5
baseline_plus_md,roc_auc,0.75,0.5
baseline_plus_md,pr_auc_active,0.8958333333333333,0.20833333333333337
baseline_plus_md,pr_auc_inactive,0.8333333333333334,0.3333333333333333
baseline_plus_md,balanced_accuracy,0.5625,0.3145764348029479
baseline_plus_md,macro_f1,0.475,0.3570714214271425
baseline_plus_md,f1_active,0.375,0.47871355387816905
baseline_plus_md,mcc,0.125,0.6291528696058958
baseline_plus_md,sensitivity,0.375,0.47871355387816905
baseline_plus_md,specificity,0.75,0.5
baseline_plus_md,precision_active,0.375,0.47871355387816905
