fold,metric,baseline,baseline_plus_md,delta_md_minus_baseline
0,roc_auc,1.0,1.0,0.0
0,pr_auc_active,1.0,1.0,0.0
0,pr_auc_inactive,1.0,1.0,0.0
0,balanced_accuracy,1.0,1.0,0.0
0,macro_f1,1.0,1.0,0.0
0,f1_active,1.0,1.0,0.0
0,mcc,1.0,1.0,0.0
0,sensitivity,1.0,1.0,0.0
0,specificity,1.0,1.0,0.0
0,precision_active,1.0,1.0,0.0
1,roc_auc,1.0,1.0,0.0
1,pr_auc_active,1.0,1.0,0.0
1,pr_auc_inactive,1.0,1.0,0.0
1,balanced_accuracy,0.5,0.5,0.0
1,macro_f1,0.4,0.4,0.0
1,f1_active,0.0,0.0,0.0
1,mcc,0.0,0.0,0.0
1,sensitivity,0.0,0.0,0.0
1,specificity,1.0,1.0,0.0
1,precision_active,0.0,0.0,0.0
2,roc_auc,1.0,1.0,0.0
2,pr_auc_active,1.0,1.0,0.0
2,pr_auc_inactive,1.0,1.0,0.0
2,balanced_accuracy,0.5,0.5,0.0
2,macro_f1,0.25,0.25,0.0
2,f1_active,0.0,0.0,0.0
2,mcc,0.0,0.0,0.0
2,sensitivity,0.0,0.0,0.0
2,specificity,1.0,1.0,0.0
2,precision_active,0.0,0.0,0.0
3,roc_auc,0.0,0.0,0.0
3,pr_auc_active,0.5833333333333333,0.5833333333333333,0.0
3,pr_auc_inactive,0.3333333333333333,0.3333333333333333,0.0
3,balanced_accuracy,0.5,0.25,-0.25
3,macro_f1,0.4,0.25,-0.15000000000000002
3,f1_active,0.8,0.5,-0.30000000000000004
3,mcc,0.0,-0.5,-0.5
3,sensitivity,1.0,0.5,-0.5
3,specificity,0.0,0.0,0.0
3,precision_active,0.6666666666666666,0.5,-0.16666666666666663
