weighting,family,number_features,metric,add_family_delta_vs_baseline,leave_family_out_effect
row_weighted,size_shape,7,roc_auc,0.04761904761904767,0.21428571428571436
row_weighted,size_shape,7,pr_auc_active,0.04024679024679034,0.0913669663669664
row_weighted,size_shape,7,pr_auc_inactive,-0.03282312925170072,0.22670068027210888
row_weighted,size_shape,7,balanced_accuracy,0.23809523809523814,0.369047619047619
row_weighted,size_shape,7,macro_f1,0.23351648351648358,0.45518207282913165
row_weighted,size_shape,7,mcc,0.4761904761904763,0.8753237174749648
row_weighted,rna_association,4,roc_auc,-0.1428571428571429,0.0
row_weighted,rna_association,4,pr_auc_active,-0.06848336848336845,0.0
row_weighted,rna_association,4,pr_auc_inactive,-0.14472789115646267,0.0
row_weighted,rna_association,4,balanced_accuracy,0.011904761904761862,-0.07142857142857151
row_weighted,rna_association,4,macro_f1,0.0,-0.07875457875457881
row_weighted,rna_association,4,mcc,0.026161435866281904,-0.13286151661592105
row_weighted,water_penetration,1,roc_auc,0.0,0.04761904761904756
row_weighted,water_penetration,1,pr_auc_active,0.013791763791763834,0.013986013986013957
row_weighted,water_penetration,1,pr_auc_inactive,-0.06887755102040827,0.09523809523809523
row_weighted,water_penetration,1,balanced_accuracy,0.08333333333333337,0.0714285714285714
row_weighted,water_penetration,1,macro_f1,0.07967032967032972,0.0844155844155845
row_weighted,water_penetration,1,mcc,0.16666666666666666,0.1318680560726248
source_balanced,size_shape,7,roc_auc,0.032467532467532534,0.07467532467532467
source_balanced,size_shape,7,pr_auc_active,0.006543073080852002,0.01991656641758066
source_balanced,size_shape,7,pr_auc_inactive,0.013311688311688274,0.17912801484230056
source_balanced,size_shape,7,balanced_accuracy,0.17207792207792216,0.21103896103896097
source_balanced,size_shape,7,macro_f1,0.17469721767594115,0.27341939755048006
source_balanced,size_shape,7,mcc,0.44207815978730314,0.6207187870663166
source_balanced,rna_association,4,roc_auc,-0.055194805194805185,0.0
source_balanced,rna_association,4,pr_auc_active,-0.01798553310919626,0.006818181818181945
source_balanced,rna_association,4,pr_auc_inactive,-0.08889919604205321,0.0
source_balanced,rna_association,4,balanced_accuracy,0.032467532467532534,-0.03571428571428581
source_balanced,rna_association,4,macro_f1,0.016649383157518405,-0.047093422962340536
source_balanced,rna_association,4,mcc,0.0743527288483349,-0.069037003492667
source_balanced,water_penetration,1,roc_auc,0.012987012987013047,0.006493506493506496
source_balanced,water_penetration,1,pr_auc_active,0.004635605548384492,0.0016339869281045694
source_balanced,water_penetration,1,pr_auc_inactive,-0.027958152958153015,0.04761904761904767
source_balanced,water_penetration,1,balanced_accuracy,0.06818181818181823,0.0357142857142857
source_balanced,water_penetration,1,macro_f1,0.06266924564796916,0.05119717532825774
source_balanced,water_penetration,1,mcc,0.1561893874118372,0.07678828634918511
