feature_set,weighting,number_md_features,roc_auc,pr_auc_active,pr_auc_inactive,balanced_accuracy,macro_f1,mcc,sensitivity,specificity,precision_active
baseline,row_weighted,0,0.5476190476190477,0.5057239057239057,0.71212715855573,0.5357142857142857,0.5357142857142857,0.07142857142857142,0.5,0.5714285714285714,0.5
baseline,source_balanced,0,0.30844155844155835,0.5537022371644582,0.4783549783549783,0.48376623376623373,0.4791489361702127,-0.03436040663720258,0.6818181818181819,0.2857142857142857,0.6
add_size_shape,row_weighted,7,0.5952380952380953,0.545970695970696,0.6793040293040293,0.7738095238095238,0.7692307692307693,0.5476190476190477,0.8333333333333334,0.7142857142857143,0.7142857142857143
add_size_shape,source_balanced,7,0.3409090909090909,0.5602453102453102,0.4916666666666666,0.6558441558441559,0.6538461538461539,0.40771775315010056,0.9545454545454546,0.35714285714285715,0.7
add_rna_association,row_weighted,4,0.40476190476190477,0.43724053724053724,0.5673992673992674,0.5476190476190476,0.5357142857142857,0.09759000729485333,0.6666666666666666,0.42857142857142855,0.5
add_rna_association,source_balanced,4,0.25324675324675316,0.535716704055262,0.3894557823129251,0.5162337662337663,0.4957983193277311,0.03999232221113232,0.8181818181818182,0.21428571428571427,0.6206896551724137
add_water_penetration,row_weighted,1,0.5476190476190477,0.5195156695156695,0.6432496075353218,0.6190476190476191,0.6153846153846154,0.23809523809523808,0.6666666666666666,0.5714285714285714,0.5714285714285714
add_water_penetration,source_balanced,1,0.3214285714285714,0.5583378427128427,0.4503968253968253,0.551948051948052,0.5418181818181819,0.1218289807746346,0.8181818181818182,0.2857142857142857,0.6428571428571428
all_except_size_shape,row_weighted,5,0.42857142857142855,0.4685897435897436,0.5478414442700157,0.3333333333333333,0.23529411764705882,-0.4605661864718383,0.6666666666666666,0.0,0.36363636363636365
all_except_size_shape,source_balanced,5,0.2727272727272727,0.5419627307558341,0.3601576994434137,0.4090909090909091,0.33333333333333326,-0.282038037408883,0.8181818181818182,0.0,0.5624999999999999
all_except_rna_association,row_weighted,8,0.6428571428571429,0.55995670995671,0.7745421245421246,0.7738095238095238,0.7692307692307693,0.5476190476190477,0.8333333333333334,0.7142857142857143,0.7142857142857143
all_except_rna_association,source_balanced,8,0.3474025974025974,0.5550611153552328,0.5392857142857143,0.6558441558441559,0.6538461538461539,0.40771775315010056,0.9545454545454546,0.35714285714285715,0.7
all_except_water_penetration,row_weighted,11,0.5952380952380953,0.545970695970696,0.6793040293040293,0.6309523809523809,0.606060606060606,0.2828894749305018,0.8333333333333334,0.42857142857142855,0.5555555555555556
all_except_water_penetration,source_balanced,11,0.3409090909090909,0.5602453102453102,0.4916666666666666,0.5844155844155844,0.5555555555555556,0.26189246330824845,0.9545454545454546,0.21428571428571427,0.6562499999999999
all_md,row_weighted,12,0.6428571428571429,0.55995670995671,0.7745421245421246,0.7023809523809523,0.6904761904761905,0.4147575310031266,0.8333333333333334,0.5714285714285714,0.625
all_md,source_balanced,12,0.3474025974025974,0.5618792971734148,0.5392857142857143,0.6201298701298701,0.6067527308838133,0.33868074965743356,0.9545454545454546,0.2857142857142857,0.6774193548387096
