seed,weighting,metric,baseline,baseline_plus_md,delta_md_minus_baseline
2000,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2000,row_weighted,pr_auc_active,0.49173789173789173,0.55995670995671,0.06821881821881826
2000,row_weighted,pr_auc_inactive,0.6168890633176347,0.7745421245421246,0.15765306122448985
2000,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2000,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2000,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2001,row_weighted,roc_auc,0.5238095238095238,0.5952380952380953,0.07142857142857151
2001,row_weighted,pr_auc_active,0.4890572390572391,0.545970695970696,0.05691345691345695
2001,row_weighted,pr_auc_inactive,0.7022065236350951,0.6793040293040293,-0.022902494331065726
2001,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2001,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2001,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2002,row_weighted,roc_auc,0.5238095238095238,0.5952380952380953,0.07142857142857151
2002,row_weighted,pr_auc_active,0.5036426536426536,0.545970695970696,0.04232804232804244
2002,row_weighted,pr_auc_inactive,0.6304945054945055,0.6793040293040293,0.04880952380952386
2002,row_weighted,balanced_accuracy,0.6190476190476191,0.6309523809523809,0.011904761904761862
2002,row_weighted,macro_f1,0.6153846153846154,0.606060606060606,-0.009324009324009452
2002,row_weighted,mcc,0.23809523809523808,0.2828894749305018,0.044794236835263734
2003,row_weighted,roc_auc,0.5476190476190477,0.6428571428571429,0.09523809523809523
2003,row_weighted,pr_auc_active,0.5195156695156695,0.55995670995671,0.040441040441040466
2003,row_weighted,pr_auc_inactive,0.6432496075353218,0.7745421245421246,0.13129251700680278
2003,row_weighted,balanced_accuracy,0.6190476190476191,0.6309523809523809,0.011904761904761862
2003,row_weighted,macro_f1,0.6153846153846154,0.606060606060606,-0.009324009324009452
2003,row_weighted,mcc,0.23809523809523808,0.2828894749305018,0.044794236835263734
2004,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2004,row_weighted,pr_auc_active,0.486975986975987,0.55995670995671,0.072980722980723
2004,row_weighted,pr_auc_inactive,0.6205738705738706,0.7745421245421246,0.15396825396825398
2004,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2004,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2004,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2005,row_weighted,roc_auc,0.5,0.5952380952380953,0.09523809523809534
2005,row_weighted,pr_auc_active,0.486975986975987,0.545970695970696,0.058994708994709044
2005,row_weighted,pr_auc_inactive,0.6205738705738706,0.6793040293040293,0.058730158730158744
2005,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2005,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2005,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2006,row_weighted,roc_auc,0.5238095238095238,0.6428571428571429,0.11904761904761907
2006,row_weighted,pr_auc_active,0.4890572390572391,0.55995670995671,0.0708994708994709
2006,row_weighted,pr_auc_inactive,0.7022065236350951,0.7745421245421246,0.07233560090702951
2006,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2006,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2006,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2007,row_weighted,roc_auc,0.5238095238095238,0.5952380952380953,0.07142857142857151
2007,row_weighted,pr_auc_active,0.5036426536426536,0.545970695970696,0.04232804232804244
2007,row_weighted,pr_auc_inactive,0.6304945054945055,0.6793040293040293,0.04880952380952386
2007,row_weighted,balanced_accuracy,0.6071428571428572,0.7023809523809523,0.09523809523809512
2007,row_weighted,macro_f1,0.606060606060606,0.6904761904761905,0.0844155844155845
2007,row_weighted,mcc,0.21957751641341997,0.4147575310031266,0.19518001458970666
2008,row_weighted,roc_auc,0.45238095238095244,0.6428571428571429,0.19047619047619047
2008,row_weighted,pr_auc_active,0.46316646316646315,0.55995670995671,0.09679024679024684
2008,row_weighted,pr_auc_inactive,0.5967643467643468,0.7745421245421246,0.1777777777777778
2008,row_weighted,balanced_accuracy,0.4642857142857143,0.7023809523809523,0.23809523809523803
2008,row_weighted,macro_f1,0.46153846153846156,0.6904761904761905,0.2289377289377289
2008,row_weighted,mcc,-0.07142857142857142,0.4147575310031266,0.486186102431698
2009,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
2009,row_weighted,pr_auc_active,0.475071225071225,0.545970695970696,0.07089947089947102
2009,row_weighted,pr_auc_inactive,0.6069684283969998,0.6793040293040293,0.07233560090702951
2009,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2009,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2009,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2010,row_weighted,roc_auc,0.40476190476190477,0.6428571428571429,0.23809523809523814
