weighting,metric,number_of_seeds,mean_delta,sd_delta,median_delta,q025_delta,q975_delta,minimum_delta,maximum_delta,fraction_positive,fraction_zero,fraction_negative
row_weighted,roc_auc,200,0.13000000000000003,0.04248730374611485,0.11904761904761912,0.04761904761904767,0.21428571428571436,0.023809523809523947,0.23809523809523814,1.0,0.0,0.0
row_weighted,pr_auc_active,200,0.06927754421504428,0.017823566239470068,0.0708994708994709,0.02645502645502651,0.10604950604950603,0.02645502645502651,0.10803363303363311,1.0,0.0,0.0
row_weighted,pr_auc_inactive,200,0.1112667233560091,0.06248311452129854,0.10600907029478462,-0.022902494331065726,0.19989370748299343,-0.046428571428571375,0.23662131519274376,0.945,0.0,0.055
row_weighted,balanced_accuracy,200,0.12738095238095237,0.07063651141386684,0.09523809523809523,0.011904761904761862,0.25,-0.059523809523809534,0.3928571428571429,0.995,0.0,0.005
row_weighted,macro_f1,200,0.10914281551781546,0.07558224288090895,0.07034632034632027,-0.009324009324009452,0.24199134199134198,-0.0844155844155845,0.38827838827838834,0.875,0.05,0.075
row_weighted,mcc,200,0.27086028843702303,0.1380703633867862,0.2114609035019304,0.044794236835263734,0.51234753829798,-0.09806290602187911,0.7857142857142858,0.995,0.0,0.005
source_balanced,roc_auc,200,0.04766233766233771,0.012969707193103204,0.048701298701298745,0.019480519480519487,0.07808441558441565,0.019480519480519487,0.08766233766233766,1.0,0.0,0.0
source_balanced,pr_auc_active,200,0.010525416639850188,0.0043912302252001965,0.010449787281683887,0.0013588781907746261,0.019756524439356778,-4.0584415584521416e-05,0.02251396901498315,0.995,0.0,0.005
source_balanced,pr_auc_inactive,200,0.08824482065553493,0.03550206736546803,0.08984230055658626,0.019264069264069206,0.17564587198515774,0.0035714285714285587,0.18508039579468155,1.0,0.0,0.0
source_balanced,balanced_accuracy,200,0.11751623376623374,0.045577556930297775,0.10064935064935066,0.03246753246753242,0.20454545454545453,-0.0032467532467532756,0.27597402597402604,0.995,0.0,0.005
source_balanced,macro_f1,200,0.09985438642004209,0.04949923403814443,0.07640661938534288,0.013737373737373715,0.1911683152993977,-0.029182687567780752,0.2760683760683761,0.995,0.0,0.005
source_balanced,mcc,200,0.3296967616781838,0.09652937423533493,0.296252869945451,0.14006348253361384,0.5075119184886027,0.06450695482031776,0.6515666343318303,1.0,0.0,0.0
