feature,display_name,family,mean_abs_shap,sd_abs_shap,median_abs_shap,mean_signed_shap,minimum_signed_shap,maximum_signed_shap,number_sources,rank
md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.017678250205737673,0.010791438926940034,0.017255987371069665,0.0071936064237730175,-0.02711883712352464,0.03236704769638691,6,1
md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.01726178472882641,0.011026165111694419,0.01512487633546976,0.005487262956962682,-0.03282260124135125,0.026666084292179763,6,2
md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.017208512415666382,0.01090881363384162,0.018977126973666075,0.008656423705765174,-0.024763589362026866,0.03050900968572023,6,3
md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.014045717861635275,0.010005155364993747,0.013033642068484258,0.005980921625868443,-0.023157334047401005,0.027344550345699006,6,4
md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.011133027920911488,0.006131699627814666,0.011833634647636149,0.004141577969601635,-0.017819606608669075,0.01722808998641486,6,5
md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,0.00913268408039983,0.010412482291597604,0.007118944504750762,-0.003582118168810033,-0.02862746685991148,0.010831344951743371,6,6
md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,0.008081338800840068,0.00733904042239542,0.005643724713589992,-0.00184204152904618,-0.015242530894331374,0.018717891815381665,6,7
md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,0.005974382625668163,0.004252114943185842,0.005125181872271176,-0.002905105872821433,-0.012648302340466093,0.009207830258540193,6,8
md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,0.005221566630206405,0.005458656417671555,0.003104071163822085,-0.001956618459123529,-0.015326412940345632,0.007256022426412944,6,9
md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0027638147615046487,0.003521488079147391,0.0009113630870991993,0.0026961553015593573,-0.0002029783798358724,0.007852289059320313,6,10
md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.002530984924655331,0.0023160005471861036,0.0016567060220448546,0.0009506596659092973,-0.0017298100547859666,0.007181869827703166,6,11
md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,0.001487153989411976,0.0017320709752491378,0.0006472509425259406,0.0012566516442104683,-0.00044355087246293834,0.004558761213709132,6,12
