family,number_features,permutation,is_identity,assignment,roc_auc,delta_roc_auc,pr_auc_active,delta_pr_auc_active,pr_auc_inactive,delta_pr_auc_inactive,balanced_accuracy,delta_balanced_accuracy,macro_f1,delta_macro_f1,mcc,delta_mcc
size_shape,7,1,True,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP782;LNP854<-LNP854;LNP858<-LNP858,0.3474025974025974,0.045454545454545525,0.5635026737967914,0.011434423560437779,0.5392857142857143,0.10854978354978356,0.6558441558441559,0.1720779220779221,0.6538461538461539,0.17469721767594104,0.40771775315010056,0.44207815978730314
size_shape,7,2,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP782;LNP854<-LNP858;LNP858<-LNP854,0.07792207792207788,-0.22402597402597396,0.48331037649219466,-0.06875787374415898,0.28085491506544136,-0.14988101567048934,0.4318181818181818,-0.051948051948051965,0.3454545454545454,-0.1336943907156674,-0.2405228464604172,-0.2061624398232146
size_shape,7,3,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP854;LNP854<-LNP782;LNP858<-LNP858,0.3474025974025974,0.045454545454545525,0.5635026737967914,0.011434423560437779,0.5392857142857143,0.10854978354978356,0.6558441558441559,0.1720779220779221,0.6538461538461539,0.17469721767594104,0.40771775315010056,0.44207815978730314
size_shape,7,4,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP854;LNP854<-LNP858;LNP858<-LNP782,0.09740259740259738,-0.20454545454545447,0.4901285583103765,-0.06193969192597715,0.28463420455901656,-0.14610172617691414,0.5,0.01623376623376621,0.37931034482758613,-0.09983859134262668,0.0,0.03436040663720258
size_shape,7,5,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP858;LNP854<-LNP782;LNP858<-LNP854,0.19480519480519481,-0.10714285714285704,0.5213935895754078,-0.03067466066094582,0.3107012035583464,-0.12003472717758429,0.36363636363636365,-0.12012987012987014,0.30769230769230765,-0.17145662847790516,-0.3567530340063377,-0.3223926273691351
size_shape,7,6,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP195;LNP782<-LNP858;LNP854<-LNP854;LNP858<-LNP782,0.19480519480519481,-0.10714285714285704,0.5213935895754078,-0.03067466066094582,0.3107012035583464,-0.12003472717758429,0.36363636363636365,-0.12012987012987014,0.30769230769230765,-0.17145662847790516,-0.3567530340063377,-0.3223926273691351
size_shape,7,7,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP195;LNP854<-LNP854;LNP858<-LNP858,0.0,-0.30194805194805185,0.4598255280073462,-0.09224272222900742,0.27088319088319085,-0.15985273985273984,0.29545454545454547,-0.18831168831168832,0.2653061224489796,-0.2138428137212332,-0.4605661864718382,-0.42620577983463565
size_shape,7,8,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP195;LNP854<-LNP858;LNP858<-LNP854,0.3409090909090909,0.03896103896103903,0.5591089466089466,0.007040696372592969,0.4916666666666666,0.06093073593073589,0.6558441558441559,0.1720779220779221,0.6538461538461539,0.17469721767594104,0.40771775315010056,0.44207815978730314
size_shape,7,9,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP854;LNP854<-LNP195;LNP858<-LNP858,0.2824675324675324,-0.01948051948051943,0.5473288075560803,-0.004739442680273376,0.36751700680272104,-0.06321892393320966,0.5162337662337663,0.03246753246753248,0.4957983193277311,0.016649383157518294,0.03999232221113232,0.0743527288483349
size_shape,7,10,False,LNP193<-LNP193;LNP194<-LNP194;LNP195<-LNP782;LNP782<-LNP854;LNP854<-LNP858;LNP858<-LNP195,0.2922077922077922,-0.00974025974025966,0.5506673881673881,-0.0014008620689655027,0.3774376417233559,-0.05329828901257477,0.5876623376623377,0.10389610389610388,0.5847382431233363,0.10558930695312352,0.19738550848793068,0.23174591512513326
