family,number_features,metric,baseline_metric,observed_family_metric,observed_delta,null_mean_delta,null_median_delta,null_q025,null_q975,exact_one_sided_p,holm_adjusted_p_mcc,holm_reject_0p05_mcc
size_shape,7,roc_auc,0.30194805194805185,0.3474025974025974,0.045454545454545525,-0.08714826839826835,-0.06980519480519481,-0.30194805194805185,0.05568181818181784,0.12916666666666668,,False
size_shape,7,pr_auc_active,0.5520682502363536,0.5635026737967914,0.011434423560437779,-0.026086458598843027,-0.020642100628385895,-0.09401039899668417,0.02749191677233193,0.11944444444444445,,False
size_shape,7,pr_auc_inactive,0.4307359307359307,0.5392857142857143,0.10854978354978356,-0.06205057373039259,-0.09761904761904766,-0.15985273985273984,0.12640692640692647,0.10555555555555556,,False
size_shape,7,balanced_accuracy,0.4837662337662338,0.6558441558441559,0.1720779220779221,-0.04814664502164503,-0.051948051948051965,-0.25649350649350655,0.1720779220779221,0.06666666666666667,,False
size_shape,7,macro_f1,0.4791489361702128,0.6538461538461539,0.17469721767594104,-0.06637902507547258,-0.09789893617021272,-0.2617576318223867,0.17469721767594104,0.06666666666666667,,False
size_shape,7,mcc,-0.03436040663720258,0.40771775315010056,0.44207815978730314,-0.11274159425135835,-0.1935607462820734,-0.5297156681805639,0.44207815978730314,0.06666666666666667,0.175,False
rna_association,4,roc_auc,0.30194805194805185,0.22402597402597396,-0.07792207792207789,-0.010524891774891729,0.009740259740259771,-0.1266233766233766,0.03896103896103903,0.8916666666666667,,False
rna_association,4,pr_auc_active,0.5520682502363536,0.529815071292344,-0.02225317894400969,-0.003220214648018506,0.0030228392297357853,-0.0388391209993193,0.012235501567398166,0.8833333333333333,,False
rna_association,4,pr_auc_inactive,0.4307359307359307,0.32358276643990924,-0.10715316429602145,-0.01106157404166906,0.009740259740259716,-0.12683744826601967,0.06093073593073589,0.8972222222222223,,False
rna_association,4,balanced_accuracy,0.4837662337662338,0.4090909090909091,-0.07467532467532467,0.03273809523809524,0.03246753246753248,-0.14285714285714285,0.1720779220779221,0.9513888888888888,,False
rna_association,4,macro_f1,0.4791489361702128,0.3333333333333333,-0.1458156028368795,0.016246985591024908,0.016649383157518294,-0.18503128911138927,0.17469721767594104,0.9694444444444444,,False
rna_association,4,mcc,-0.03436040663720258,-0.282038037408883,-0.24767763077168042,0.06968970314469317,0.0743527288483349,-0.35756435103189516,0.44207815978730314,0.9680555555555556,0.9680555555555556,False
water_penetration,1,roc_auc,0.30194805194805185,0.3214285714285714,0.019480519480519543,-0.012851731601731576,-0.009740259740259716,-0.07792207792207789,0.019480519480519543,0.03333333333333333,,False
water_penetration,1,pr_auc_active,0.5520682502363536,0.5583378427128427,0.006269592476489061,-0.0039325313527519504,-0.003409090909090917,-0.02237370235998759,0.006269592476489061,0.03333333333333333,,False
water_penetration,1,pr_auc_inactive,0.4307359307359307,0.4503968253968253,0.0196608946608946,-0.0149937298151584,-0.005952380952380987,-0.10715316429602145,0.047619047619047616,0.1,,False
water_penetration,1,balanced_accuracy,0.4837662337662338,0.551948051948052,0.06818181818181818,0.006764069264069274,0.0,-0.06818181818181818,0.06818181818181818,0.058333333333333334,,False
water_penetration,1,macro_f1,0.4791489361702128,0.5418181818181819,0.06266924564796905,0.006886995157610971,0.0,-0.0635645205857972,0.06266924564796905,0.058333333333333334,,False
water_penetration,1,mcc,-0.03436040663720258,0.1218289807746346,0.1561893874118372,0.014805007499022553,0.0,-0.13447076219396628,0.1561893874118372,0.058333333333333334,0.175,False
