md_source_lnp_id,family,source_mean_signed_shap,source_mean_total_abs_shap,number_features,mapped_rows,source_mean_abs_shap_per_feature
LNP193,rna_association,-0.008594766606611605,0.009292780250776055,4,1,0.0023231950626940137
LNP193,size_shape,0.06942273976747468,0.07771373739311459,7,1,0.011101962484730655
LNP193,water_penetration,0.013057803038066933,0.013057803038066933,1,1,0.013057803038066933
LNP194,rna_association,-0.025559468835498894,0.030628154393767787,4,1,0.007657038598441947
LNP194,size_shape,0.007822439659651403,0.0685369934890463,7,1,0.009790999069863757
LNP194,water_penetration,0.004928458389852205,0.004928458389852205,1,1,0.004928458389852205
LNP195,rna_association,0.00899810571418955,0.015823994831869338,4,1,0.0039559987079673346
LNP195,size_shape,-0.10137687482683763,0.11628246410638528,7,1,0.01661178058662647
LNP195,water_penetration,-0.017819606608669075,0.017819606608669075,1,1,0.017819606608669075
LNP782,rna_association,-0.012342363059253552,0.013341628753086629,4,2,0.0033354071882716572
LNP782,size_shape,0.06566346309297603,0.06883066707158353,7,2,0.009832952438797646
LNP782,water_penetration,0.010609466257205366,0.010609466257205366,1,2,0.010609466257205366
LNP854,rna_association,-0.0026874730649489196,0.005333659719512641,4,2,0.0013334149298781601
LNP854,size_shape,0.1250894659406751,0.13233407237249012,7,2,0.018904867481784302
LNP854,water_penetration,0.01722808998641486,0.01722808998641486,1,2,0.01722808998641486
LNP858,rna_association,0.03541992311553669,0.03541992311553669,4,6,0.008854980778884173
LNP858,size_shape,-0.030240407131869252,0.03477907065014407,7,6,0.004968438664306296
LNP858,water_penetration,-0.0031547432452604853,0.0031547432452604853,1,6,0.0031547432452604853
