md_source_lnp_id,feature,display_name,family,source_mean_shap,source_mean_abs_shap,source_md_value,mapped_rows,descriptor_zscore
LNP193,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.01787410953244745,0.01787410953244745,5.553874802,1,-0.8122661726370736
LNP193,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.01753566612686054,0.01753566612686054,5.376125881,1,-0.7138415675982852
LNP193,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.022392442802131277,0.022392442802131277,5.489443238,1,-0.8148995284085715
LNP193,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.002585839111736654,0.002585839111736654,4054.701663,1,0.050384522589656304
LNP193,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.015766020118855365,0.015766020118855365,0.1780959975,1,0.787118016807339
LNP193,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,-0.00013209596893491132,0.00013209596893491132,0.02506829487,1,-0.8431530216710645
LNP193,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,6.164492664741319e-05,6.164492664741319e-05,7.914356436,1,-0.2181176182198295
LNP193,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.0034725081176194728,0.0034725081176194728,155.7722772,1,0.08987106094793497
LNP193,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,0.0002873618954348122,0.0002873618954348122,0.3470697188,1,-0.4807362240490802
LNP193,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,-0.0014275637321483907,0.0014275637321483907,2.124011248,1,0.6218910986109156
LNP193,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.005471265311074357,0.005471265311074357,0.1167681592,1,0.06782054855825223
LNP193,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.013057803038066933,0.013057803038066933,3.982436308e-05,1,-0.6641665137364667
LNP194,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.01237564313849207,0.01237564313849207,7.149568683168318,1,-0.1936199831457878
LNP194,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.007736547450005835,0.007736547450005835,7.135909217821783,1,-0.08612015625557683
LNP194,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.009131544731242289,0.009131544731242289,7.101046039603959,1,-0.21281006237402278
LNP194,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,0.002267897274765028,0.002267897274765028,4707.760643564356,1,0.4337893853287937
LNP194,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.006668083979843629,0.006668083979843629,0.1410106211718841,1,-0.06529542524972297
