analysis_row_id,lnp_id,paper_doi,md_source_lnp_id,transfection_active,fold,feature,display_name,family,shap_value,abs_shap_value,md_value
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.022392442802131277,0.022392442802131277,5.489443238
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.01753566612686054,0.01753566612686054,5.376125881
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.002585839111736654,0.002585839111736654,4054.701663
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,-0.0014275637321483907,0.0014275637321483907,2.124011248
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.01787410953244745,0.01787410953244745,5.553874802
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,6.164492664741319e-05,6.164492664741319e-05,7.914356436
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,0.0002873618954348122,0.0002873618954348122,0.3470697188
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.0034725081176194728,0.0034725081176194728,155.7722772
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.005471265311074357,0.005471265311074357,0.1167681592
130,193,10.1038/mtna.2014.61,LNP193,1,0,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,-0.00013209596893491132,0.00013209596893491132,0.02506829487
