analysis_row_id,lnp_id,paper_doi,transfection_active,md_source_lnp_id,fold
130,193,10.1038/mtna.2014.61,1,LNP193,2
131,194,10.1038/mtna.2014.61,1,LNP194,2
132,195,10.1038/mtna.2014.61,0,LNP195,2
272,636,10.1021/jacs.2c12893,0,LNP858,1
288,687,https://doi.org/10.1038/s41563-020-00886-0,0,LNP858,1
293,781,10.1002/btm2.10580,1,LNP858,3
294,782,10.1002/btm2.10580,1,LNP782,3
295,783,10.1002/btm2.10580,0,LNP854,3
357,875,https://doi.org/10.1101/2023.11.09.565872,1,LNP782,0
366,911,https://doi.org/10.1101/2024.09.27.614859,1,LNP854,1
367,922,https://doi.org/10.1073/pnas.2303567120,0,LNP858,0
368,923,https://doi.org/10.1073/pnas.2303567120,0,LNP858,0
369,931,https://doi.org/10.1073/pnas.2303567120,0,LNP858,0
