column,dtype,nonmissing,missing,unique_values,role
analysis_row_id,int64,13,0,13,metadata
lnp_id,int64,13,0,13,metadata
transfection_active,int64,13,0,2,target
transfection_label_source,object,13,0,1,requires_leakage_review
paper_doi,object,13,0,7,metadata
paper_year,float64,13,0,4,numeric_baseline_candidate
ionizable_lipid,object,13,0,2,categorical_baseline_candidate
peg_lipid,object,13,0,2,categorical_baseline_candidate
sterol_lipid,object,13,0,1,constant_in_exact_subset
helper_lipid,object,13,0,2,categorical_baseline_candidate
ionizable_lipid_mol_percent_final,float64,13,0,4,numeric_baseline_candidate
peg_lipid_mol_percent_final,float64,13,0,5,numeric_baseline_candidate
sterol_lipid_mol_percent_final,float64,13,0,5,numeric_baseline_candidate
helper_lipid_mol_percent_final,float64,13,0,5,numeric_baseline_candidate
mixing_method,object,12,1,3,categorical_baseline_candidate
solvent,object,12,1,1,constant_in_exact_subset
buffer,object,12,1,3,categorical_baseline_candidate
buffer_ph,float64,9,4,2,numeric_baseline_candidate
particle_size_nm_std,float64,7,6,7,numeric_baseline_candidate
pdi_std,float64,6,7,6,numeric_baseline_candidate
zeta_potential_mv_std,float64,6,7,6,numeric_baseline_candidate
encapsulation_efficiency_percent_std,float64,7,6,7,numeric_baseline_candidate
loading_capacity_std,object,12,1,7,categorical_baseline_candidate
bio_administration_route,object,9,4,4,categorical_baseline_candidate
target_type,object,13,0,2,requires_leakage_review
ionizable_lipid_canonical_smiles,object,13,0,2,categorical_baseline_candidate
rdkit_mol_wt,float64,13,0,2,numeric_baseline_candidate
rdkit_exact_mol_wt,float64,13,0,2,numeric_baseline_candidate
rdkit_logp,float64,13,0,2,numeric_baseline_candidate
rdkit_tpsa,float64,13,0,2,numeric_baseline_candidate
rdkit_hbd,float64,13,0,2,numeric_baseline_candidate
rdkit_hba,float64,13,0,2,numeric_baseline_candidate
rdkit_rotatable_bonds,float64,13,0,2,numeric_baseline_candidate
rdkit_heavy_atom_count,float64,13,0,2,numeric_baseline_candidate
rdkit_num_rings,float64,13,0,1,constant_in_exact_subset
rdkit_num_aliphatic_rings,float64,13,0,1,constant_in_exact_subset
rdkit_num_aromatic_rings,float64,13,0,1,constant_in_exact_subset
rdkit_fraction_csp3,float64,13,0,2,numeric_baseline_candidate
rdkit_formal_charge,float64,13,0,1,constant_in_exact_subset
rdkit_qed,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_radius_gyration,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_asphericity,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_eccentricity,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_inertial_shape_factor,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_npr1,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_npr2,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_pmi1,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_pmi2,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_pmi3,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_spherocity_index,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_mol_volume,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_energy,float64,13,0,2,numeric_baseline_candidate
rdkit_3d_num_atoms_with_H,float64,13,0,2,numeric_baseline_candidate
atom_count_C,float64,13,0,2,numeric_baseline_candidate
atom_count_H,float64,13,0,2,numeric_baseline_candidate
atom_count_N,float64,13,0,1,constant_in_exact_subset
atom_count_O,float64,13,0,2,numeric_baseline_candidate
atom_count_P,float64,13,0,1,constant_in_exact_subset
atom_count_S,float64,13,0,1,constant_in_exact_subset
atom_count_F,float64,13,0,1,constant_in_exact_subset
atom_count_Cl,float64,13,0,1,constant_in_exact_subset
atom_count_Br,float64,13,0,1,constant_in_exact_subset
ester_count,float64,13,0,2,numeric_baseline_candidate
amide_count,float64,13,0,1,constant_in_exact_subset
tertiary_amine_count,float64,13,0,1,constant_in_exact_subset
secondary_amine_count,float64,13,0,1,constant_in_exact_subset
primary_amine_count,float64,13,0,1,constant_in_exact_subset
hydroxyl_count,float64,13,0,2,numeric_baseline_candidate
ether_count,float64,13,0,2,numeric_baseline_candidate
halogen_count,float64,13,0,1,constant_in_exact_subset
phosphate_count,float64,13,0,1,constant_in_exact_subset
has_amine,float64,13,0,1,constant_in_exact_subset
has_ester,float64,13,0,1,constant_in_exact_subset
tail_longest_carbon_chain_len,float64,13,0,2,numeric_baseline_candidate
tail_total_aliphatic_carbons,float64,13,0,2,numeric_baseline_candidate
tail_terminal_carbon_count,float64,13,0,2,numeric_baseline_candidate
tail_branching_carbon_count,float64,13,0,1,constant_in_exact_subset
tail_unsaturation_cc_double_bond_count,float64,13,0,2,numeric_baseline_candidate
tail_aromatic_carbon_count,float64,13,0,1,constant_in_exact_subset
tail_branching_index,float64,13,0,1,constant_in_exact_subset
tail_unsaturation_index,float64,13,0,2,numeric_baseline_candidate
cargo_sequence_type,object,13,0,1,constant_in_exact_subset
cargo_transcript_length_nt,float64,9,4,2,numeric_baseline_candidate
cargo_CDS length_nt,float64,13,0,3,numeric_baseline_candidate
cargo_gc_content,float64,13,0,3,numeric_baseline_candidate
cargo_a_fraction,float64,13,0,3,numeric_baseline_candidate
cargo_u_fraction,float64,13,0,3,numeric_baseline_candidate
cargo_g_fraction,float64,13,0,3,numeric_baseline_candidate
cargo_c_fraction,float64,13,0,3,numeric_baseline_candidate
cargo_molecular_weight_approx_da,float64,13,0,3,numeric_baseline_candidate
cargo_length_nt_calculated,float64,13,0,3,numeric_baseline_candidate
cargo_cargo_is_mrna,int64,13,0,1,constant_in_exact_subset
cargo_cargo_is_aso,int64,13,0,1,constant_in_exact_subset
cargo_cargo_is_barcode,int64,13,0,1,constant_in_exact_subset
cargo_cargo_is_pdna,int64,13,0,1,constant_in_exact_subset
morgan_r2_2048_bit_1,float64,13,0,1,constant_in_exact_subset
morgan_r2_2048_bit_2,float64,13,0,1,constant_in_exact_subset
