feature,block,data_type,use,reason
ionizable_lipid_mol_percent_final,formulation,numeric,baseline_and_enhanced,
peg_lipid_mol_percent_final,formulation,numeric,baseline_and_enhanced,
sterol_lipid_mol_percent_final,formulation,numeric,baseline_and_enhanced,
helper_lipid_mol_percent_final,formulation,numeric,baseline_and_enhanced,
buffer_ph,formulation,numeric,baseline_and_enhanced,
ionizable_lipid,formulation,categorical,baseline_and_enhanced,
peg_lipid,formulation,categorical,baseline_and_enhanced,
helper_lipid,formulation,categorical,baseline_and_enhanced,
mixing_method,formulation,categorical,baseline_and_enhanced,
buffer,formulation,categorical,baseline_and_enhanced,
bio_administration_route,experimental_context,categorical,baseline_and_enhanced,
rdkit_mol_wt,chemistry,numeric,baseline_and_enhanced,
rdkit_exact_mol_wt,chemistry,numeric,baseline_and_enhanced,
rdkit_logp,chemistry,numeric,baseline_and_enhanced,
rdkit_tpsa,chemistry,numeric,baseline_and_enhanced,
rdkit_hbd,chemistry,numeric,baseline_and_enhanced,
rdkit_hba,chemistry,numeric,baseline_and_enhanced,
rdkit_rotatable_bonds,chemistry,numeric,baseline_and_enhanced,
rdkit_heavy_atom_count,chemistry,numeric,baseline_and_enhanced,
rdkit_fraction_csp3,chemistry,numeric,baseline_and_enhanced,
rdkit_qed,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_radius_gyration,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_asphericity,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_eccentricity,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_inertial_shape_factor,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_npr1,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_npr2,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_pmi1,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_pmi2,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_pmi3,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_spherocity_index,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_mol_volume,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_energy,chemistry,numeric,baseline_and_enhanced,
rdkit_3d_num_atoms_with_H,chemistry,numeric,baseline_and_enhanced,
atom_count_C,chemistry,numeric,baseline_and_enhanced,
atom_count_H,chemistry,numeric,baseline_and_enhanced,
atom_count_O,chemistry,numeric,baseline_and_enhanced,
ester_count,chemistry,numeric,baseline_and_enhanced,
hydroxyl_count,chemistry,numeric,baseline_and_enhanced,
ether_count,chemistry,numeric,baseline_and_enhanced,
tail_longest_carbon_chain_len,chemistry,numeric,baseline_and_enhanced,
tail_total_aliphatic_carbons,chemistry,numeric,baseline_and_enhanced,
tail_terminal_carbon_count,chemistry,numeric,baseline_and_enhanced,
tail_unsaturation_cc_double_bond_count,chemistry,numeric,baseline_and_enhanced,
tail_unsaturation_index,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_13,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_28,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_147,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_222,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_251,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_401,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_473,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_652,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_677,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_693,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_694,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_775,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_946,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1034,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1114,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1163,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1172,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1195,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1249,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1267,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1581,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1669,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1670,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1734,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1755,chemistry,numeric,baseline_and_enhanced,
morgan_r2_2048_bit_1873,chemistry,numeric,baseline_and_enhanced,
cargo_transcript_length_nt,cargo,numeric,baseline_and_enhanced,
cargo_CDS length_nt,cargo,numeric,baseline_and_enhanced,
cargo_gc_content,cargo,numeric,baseline_and_enhanced,
cargo_a_fraction,cargo,numeric,baseline_and_enhanced,
cargo_u_fraction,cargo,numeric,baseline_and_enhanced,
cargo_g_fraction,cargo,numeric,baseline_and_enhanced,
cargo_c_fraction,cargo,numeric,baseline_and_enhanced,
cargo_molecular_weight_approx_da,cargo,numeric,baseline_and_enhanced,
cargo_length_nt_calculated,cargo,numeric,baseline_and_enhanced,
md_LNP_only_Rg_nm_mean_last100ns,md,numeric,enhanced_only,
md_LNP_core_Rg_nm_mean_last100ns,md,numeric,enhanced_only,
md_LNP_only_SASA_nm2_mean_last100ns,md,numeric,enhanced_only,
md_RNA_Rg_nm_mean_last100ns,md,numeric,enhanced_only,
md_LNP_RNA_Rg_nm_mean_last100ns,md,numeric,enhanced_only,
md_RNA_LNP_COM_distance_nm_mean_last100ns,md,numeric,enhanced_only,
md_RNA_LNP_mindist_nm_mean_last100ns,md,numeric,enhanced_only,
md_RNA_LNP_contacts_0p6nm_mean_last100ns,md,numeric,enhanced_only,
md_RNA_buried_fraction_contact_based_mean_last100ns,md,numeric,enhanced_only,
md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,md,numeric,enhanced_only,
md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,md,numeric,enhanced_only,
md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,md,numeric,enhanced_only,
paper_year,excluded,numeric,excluded,study metadata
particle_size_nm_std,excluded,numeric,excluded,post-formulation measured property
pdi_std,excluded,numeric,excluded,post-formulation measured property
zeta_potential_mv_std,excluded,numeric,excluded,post-formulation measured property
encapsulation_efficiency_percent_std,excluded,numeric,excluded,post-formulation measured property
