feature_1,family_1,feature_2,family_2,spearman_rho,absolute_rho,p_value,bh_adjusted_p
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,1.0,1.0,0.0,0.0
md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,1.0,1.0,0.0,0.0
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,-0.942857142857143,0.942857142857143,0.004804664723032055,0.07927696793002892
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,-0.942857142857143,0.942857142857143,0.004804664723032055,0.07927696793002892
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,0.8857142857142858,0.8857142857142858,0.01884548104956266,0.1776859641815908
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,0.8857142857142858,0.8857142857142858,0.01884548104956266,0.1776859641815908
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,0.8857142857142858,0.8857142857142858,0.01884548104956266,0.1776859641815908
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_LNP_core_Rg_nm_mean_last100ns,size_shape,0.8285714285714287,0.8285714285714287,0.04156268221574334,0.2285947521865884
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,0.8285714285714287,0.8285714285714287,0.04156268221574334,0.2285947521865884
md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.8285714285714287,0.8285714285714287,0.04156268221574334,0.2285947521865884
md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.8285714285714287,0.8285714285714287,0.04156268221574334,0.2285947521865884
md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,-0.8285714285714287,0.8285714285714287,0.04156268221574334,0.2285947521865884
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,0.7714285714285715,0.7714285714285715,0.07239650145772594,0.28106877036528893
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,-0.7714285714285715,0.7714285714285715,0.07239650145772594,0.28106877036528893
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,0.7714285714285715,0.7714285714285715,0.07239650145772594,0.28106877036528893
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,0.7714285714285715,0.7714285714285715,0.07239650145772594,0.28106877036528893
md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,-0.7714285714285715,0.7714285714285715,0.07239650145772594,0.28106877036528893
md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,0.7142857142857143,0.7142857142857143,0.1107871720116617,0.40621963070942624
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,0.6571428571428573,0.6571428571428573,0.15617492711370237,0.5153772594752178
md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,0.6571428571428573,0.6571428571428573,0.15617492711370237,0.5153772594752178
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,-0.6,0.6,0.20799999999999982,0.5968695652173909
md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,0.6,0.6,0.20799999999999982,0.5968695652173909
md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,0.6,0.6,0.20799999999999982,0.5968695652173909
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,0.5428571428571429,0.5428571428571429,0.26570262390670557,0.649495302883058
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,0.5428571428571429,0.5428571428571429,0.26570262390670557,0.649495302883058
md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,-0.5428571428571429,0.5428571428571429,0.26570262390670557,0.649495302883058
md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,-0.5428571428571429,0.5428571428571429,0.26570262390670557,0.649495302883058
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_LNP_only_SASA_nm2_mean_last100ns,size_shape,-0.48571428571428577,0.48571428571428577,0.3287230320699709,0.677991253644315
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.48571428571428577,0.48571428571428577,0.3287230320699709,0.677991253644315
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.48571428571428577,0.48571428571428577,0.3287230320699709,0.677991253644315
md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.48571428571428577,0.48571428571428577,0.3287230320699709,0.677991253644315
md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.48571428571428577,0.48571428571428577,0.3287230320699709,0.677991253644315
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,0.4285714285714286,0.4285714285714286,0.3965014577259474,0.7930029154518948
md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,-0.3714285714285715,0.3714285714285715,0.46847813411078715,0.9093987309209398
md_LNP_core_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,0.3142857142857143,0.3142857142857143,0.5440932944606414,0.913421185617104
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_RNA_Rg_nm_mean_last100ns,size_shape,-0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_RNA_Rg_nm_mean_last100ns,size_shape,md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,-0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,-0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,-0.2571428571428572,0.2571428571428572,0.6227871720116618,0.913421185617104
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,-0.2,0.2,0.704,0.9482448979591837
md_LNP_only_Rg_nm_mean_last100ns,size_shape,md_LNP_only_SASA_nm2_mean_last100ns,size_shape,-0.14285714285714288,0.14285714285714288,0.7871720116618075,0.9571545189504373
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,-0.14285714285714288,0.14285714285714288,0.7871720116618075,0.9571545189504373
md_RNA_Rg_nm_mean_last100ns,size_shape,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,-0.14285714285714288,0.14285714285714288,0.7871720116618075,0.9571545189504373
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,md_RNA_Rg_nm_mean_last100ns,size_shape,0.08571428571428573,0.08571428571428573,0.8717434402332361,0.9571545189504373
