family,feature
size_shape,md_LNP_only_Rg_nm_mean_last100ns
size_shape,md_LNP_core_Rg_nm_mean_last100ns
size_shape,md_LNP_only_SASA_nm2_mean_last100ns
size_shape,md_RNA_Rg_nm_mean_last100ns
size_shape,md_LNP_RNA_Rg_nm_mean_last100ns
size_shape,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns
size_shape,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns
rna_association,md_RNA_LNP_COM_distance_nm_mean_last100ns
rna_association,md_RNA_LNP_mindist_nm_mean_last100ns
rna_association,md_RNA_LNP_contacts_0p6nm_mean_last100ns
rna_association,md_RNA_buried_fraction_contact_based_mean_last100ns
water_penetration,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns
