analysis_row_id,lnp_id,paper_doi,md_source_lnp_id,transfection_active,fold,baseline_probability,baseline_prediction,enhanced_probability,enhanced_prediction,probability_change,baseline_correct,enhanced_correct,classification_effect
130,193,10.1038/mtna.2014.61,LNP193,1,0,0.6242017154384506,1,0.6875115765131963,1,0.06330986107474568,1,1,unchanged
131,194,10.1038/mtna.2014.61,LNP194,1,1,0.5634625498952925,1,0.5747801769747216,1,0.011317627079429071,1,1,unchanged
132,195,10.1038/mtna.2014.61,LNP195,0,2,0.9381277382747968,1,0.7458730921855925,1,-0.19225464608920428,0,0,unchanged
294,782,10.1002/btm2.10580,LNP782,1,3,0.4865202637671646,0,0.5735859620854493,1,0.0870656983182847,0,1,improved
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,0.5252948193532024,1,0.5838131532705154,1,0.05851833391731298,1,1,unchanged
295,783,10.1002/btm2.10580,LNP854,0,4,0.975790861298181,1,0.9735455967523692,1,-0.0022452645458118647,0,0,unchanged
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,0.4688513766477478,0,0.6775415643827905,1,0.20869018773504266,0,1,improved
272,636,10.1021/jacs.2c12893,LNP858,0,5,0.4671519316148525,0,0.4697106594997706,0,0.002558727884918066,1,1,unchanged
288,687,https://doi.org/10.1038/s41563-020-00886-0,LNP858,0,5,0.5143448938813444,1,0.5162146560192469,1,0.0018697621379024643,0,0,unchanged
293,781,10.1002/btm2.10580,LNP858,1,5,0.4472114554243757,0,0.459331195214056,0,0.01211973978968034,0,0,unchanged
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,0.4438014626393831,0,0.4531044185185293,0,0.009302955879146202,1,1,unchanged
368,923,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,0.4438014626393831,0,0.4531044185185293,0,0.009302955879146202,1,1,unchanged
369,931,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,0.4917249443863944,0,0.4997346776642682,0,0.008009733277873798,1,1,unchanged
