,md_LNP_only_Rg_nm_mean_last100ns,md_LNP_core_Rg_nm_mean_last100ns,md_LNP_only_SASA_nm2_mean_last100ns,md_RNA_Rg_nm_mean_last100ns,md_LNP_RNA_Rg_nm_mean_last100ns,md_RNA_LNP_COM_distance_nm_mean_last100ns,md_RNA_LNP_mindist_nm_mean_last100ns,md_RNA_LNP_contacts_0p6nm_mean_last100ns,md_RNA_buried_fraction_contact_based_mean_last100ns,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns
md_LNP_only_Rg_nm_mean_last100ns,1.0,0.8285714285714286,-0.14285714285714285,-0.2571428571428571,1.0,0.2571428571428571,0.5428571428571428,-0.2,-0.2,0.8857142857142857,-0.9428571428571428,0.7714285714285715
md_LNP_core_Rg_nm_mean_last100ns,0.8285714285714286,1.0,-0.4857142857142857,-0.02857142857142857,0.8285714285714286,0.42857142857142855,0.3142857142857143,-0.4857142857142857,-0.4857142857142857,0.8857142857142857,-0.7714285714285715,0.7714285714285715
md_LNP_only_SASA_nm2_mean_last100ns,-0.14285714285714285,-0.4857142857142857,1.0,0.08571428571428572,-0.14285714285714285,0.2571428571428571,0.6571428571428571,0.02857142857142857,0.02857142857142857,-0.02857142857142857,0.2571428571428571,-0.6
md_RNA_Rg_nm_mean_last100ns,-0.2571428571428571,-0.02857142857142857,0.08571428571428572,1.0,-0.2571428571428571,-0.02857142857142857,0.08571428571428572,-0.2571428571428571,-0.2571428571428571,0.02857142857142857,0.08571428571428572,-0.14285714285714285
md_LNP_RNA_Rg_nm_mean_last100ns,1.0,0.8285714285714286,-0.14285714285714285,-0.2571428571428571,1.0,0.2571428571428571,0.5428571428571428,-0.2,-0.2,0.8857142857142857,-0.9428571428571428,0.7714285714285715
md_RNA_LNP_COM_distance_nm_mean_last100ns,0.2571428571428571,0.42857142857142855,0.2571428571428571,-0.02857142857142857,0.2571428571428571,1.0,0.6571428571428571,-0.8285714285714286,-0.8285714285714286,0.6,0.02857142857142857,-0.02857142857142857
md_RNA_LNP_mindist_nm_mean_last100ns,0.5428571428571428,0.3142857142857143,0.6571428571428571,0.08571428571428572,0.5428571428571428,0.6571428571428571,1.0,-0.4857142857142857,-0.4857142857142857,0.7142857142857143,-0.37142857142857144,0.08571428571428572
md_RNA_LNP_contacts_0p6nm_mean_last100ns,-0.2,-0.4857142857142857,0.02857142857142857,-0.2571428571428571,-0.2,-0.8285714285714286,-0.4857142857142857,1.0,1.0,-0.5428571428571428,0.02857142857142857,-0.2571428571428571
md_RNA_buried_fraction_contact_based_mean_last100ns,-0.2,-0.4857142857142857,0.02857142857142857,-0.2571428571428571,-0.2,-0.8285714285714286,-0.4857142857142857,1.0,1.0,-0.5428571428571428,0.02857142857142857,-0.2571428571428571
md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,0.8857142857142857,0.8857142857142857,-0.02857142857142857,0.02857142857142857,0.8857142857142857,0.6,0.7142857142857143,-0.5428571428571428,-0.5428571428571428,1.0,-0.7714285714285715,0.6
md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,-0.9428571428571428,-0.7714285714285715,0.2571428571428571,0.08571428571428572,-0.9428571428571428,0.02857142857142857,-0.37142857142857144,0.02857142857142857,0.02857142857142857,-0.7714285714285715,1.0,-0.8285714285714286
md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,0.7714285714285715,0.7714285714285715,-0.6,-0.14285714285714285,0.7714285714285715,-0.02857142857142857,0.08571428571428572,-0.2571428571428571,-0.2571428571428571,0.6,-0.8285714285714286,1.0
