number,column,unique,missing,minimum,maximum
1,paper_year,4,0,2014.0,2024.0
2,ionizable_lipid_mol_percent_final,4,0,45.0,51.0
3,peg_lipid_mol_percent_final,5,0,1.5,38.5
4,sterol_lipid_mol_percent_final,5,0,10.0,39.0
5,helper_lipid_mol_percent_final,5,0,1.0,10.0
6,buffer_ph,2,4,3.0,4.0
7,particle_size_nm_std,7,6,46.0,123.3
8,pdi_std,6,7,0.088,0.172
9,zeta_potential_mv_std,6,7,1.7,32.0
10,encapsulation_efficiency_percent_std,7,6,81.0,96.0
11,rdkit_mol_wt,2,0,642.1100000000001,710.1819999999998
12,rdkit_exact_mol_wt,2,0,641.611080768,709.658424884
13,rdkit_logp,2,0,12.668699999999982,13.647199999999977
14,rdkit_tpsa,2,0,29.54,76.07000000000001
15,rdkit_hbd,2,0,0.0,1.0
16,rdkit_hba,2,0,3.0,6.0
17,rdkit_rotatable_bonds,2,0,35.0,41.0
18,rdkit_heavy_atom_count,2,0,46.0,50.0
19,rdkit_fraction_csp3,2,0,0.7906976744186046,0.9545454545454546
20,rdkit_qed,2,0,0.0391620937021168,0.0502925224287114
21,rdkit_3d_radius_gyration,2,0,5.6759509544138,6.495092117972293
22,rdkit_3d_asphericity,2,0,0.0701787460497119,0.0829478524366818
23,rdkit_3d_eccentricity,2,0,0.7734861467961351,0.801858287989771
24,rdkit_3d_inertial_shape_factor,2,0,7.078287477224821e-05,7.481667568783164e-05
25,rdkit_3d_npr1,2,0,0.5975142558819106,0.63381320648474
26,rdkit_3d_npr2,2,0,0.8394206871070077,0.9431667780955918
27,rdkit_3d_pmi1,2,0,11219.70041290585,13324.78768530292
28,rdkit_3d_pmi2,2,0,15762.04841478717,19828.392563255235
29,rdkit_3d_pmi3,2,0,18777.29326532294,21023.20928149315
30,rdkit_3d_spherocity_index,2,0,0.572698937131997,0.7057359414064618
31,rdkit_3d_mol_volume,2,0,741.3600000000001,803.6480000000001
32,rdkit_3d_energy,2,0,81.42806596565488,82.49458148306611
33,rdkit_3d_num_atoms_with_H,2,0,125.0,137.0
34,atom_count_C,2,0,43.0,44.0
35,atom_count_H,2,0,79.0,87.0
36,atom_count_O,2,0,2.0,5.0
37,ester_count,2,0,1.0,2.0
38,hydroxyl_count,2,0,0.0,1.0
39,ether_count,2,0,1.0,2.0
40,tail_longest_carbon_chain_len,2,0,17.0,37.0
41,tail_total_aliphatic_carbons,2,0,43.0,44.0
42,tail_terminal_carbon_count,2,0,6.0,10.0
43,tail_unsaturation_cc_double_bond_count,2,0,0.0,4.0
44,tail_unsaturation_index,2,0,0.0,0.0930232558139534
45,cargo_transcript_length_nt,2,4,1857.0,3144.0
46,cargo_CDS length_nt,3,0,516.0,1653.0
47,cargo_gc_content,3,0,0.4476709013914096,0.6252676659528907
48,cargo_a_fraction,3,0,0.1977159172019985,0.2897761645493042
49,cargo_u_fraction,3,0,0.1770164168451106,0.2625529340592861
50,cargo_g_fraction,3,0,0.2383545069570478,0.3233404710920771
51,cargo_c_fraction,3,0,0.2093163944343617,0.3019271948608137
52,cargo_molecular_weight_approx_da,3,0,166204.68,532174.39
53,cargo_length_nt_calculated,3,0,516.0,1653.0
54,morgan_r2_2048_bit_13,2,0,0.0,1.0
55,morgan_r2_2048_bit_28,2,0,0.0,1.0
56,morgan_r2_2048_bit_147,2,0,0.0,1.0
57,morgan_r2_2048_bit_222,2,0,0.0,1.0
58,morgan_r2_2048_bit_251,2,0,0.0,1.0
59,morgan_r2_2048_bit_401,2,0,0.0,1.0
60,morgan_r2_2048_bit_473,2,0,0.0,1.0
61,morgan_r2_2048_bit_652,2,0,0.0,1.0
62,morgan_r2_2048_bit_677,2,0,0.0,1.0
63,morgan_r2_2048_bit_693,2,0,0.0,1.0
64,morgan_r2_2048_bit_694,2,0,0.0,1.0
65,morgan_r2_2048_bit_775,2,0,0.0,1.0
66,morgan_r2_2048_bit_946,2,0,0.0,1.0
67,morgan_r2_2048_bit_1034,2,0,0.0,1.0
68,morgan_r2_2048_bit_1114,2,0,0.0,1.0
69,morgan_r2_2048_bit_1163,2,0,0.0,1.0
70,morgan_r2_2048_bit_1172,2,0,0.0,1.0
71,morgan_r2_2048_bit_1195,2,0,0.0,1.0
72,morgan_r2_2048_bit_1249,2,0,0.0,1.0
73,morgan_r2_2048_bit_1267,2,0,0.0,1.0
74,morgan_r2_2048_bit_1581,2,0,0.0,1.0
75,morgan_r2_2048_bit_1669,2,0,0.0,1.0
76,morgan_r2_2048_bit_1670,2,0,0.0,1.0
77,morgan_r2_2048_bit_1734,2,0,0.0,1.0
78,morgan_r2_2048_bit_1755,2,0,0.0,1.0
79,morgan_r2_2048_bit_1873,2,0,0.0,1.0
