model,recall,precision,threshold
baseline,1.0,0.46153846153846156,0.2284861894319132
baseline,1.0,0.5,0.2323750783208021
baseline,1.0,0.6,0.2393288690476188
baseline,1.0,0.6666666666666666,0.2566205357142854
baseline,1.0,0.75,0.2777386779886763
baseline,1.0,0.8571428571428571,0.2939529637029616
baseline,0.8333333333333334,0.8333333333333334,0.3145669642857131
baseline,0.6666666666666666,0.8,0.3178458208458183
baseline,0.5,0.75,0.5319902597402587
baseline,0.3333333333333333,0.6666666666666666,0.5709508547008644
baseline,0.16666666666666666,0.5,0.93645454545455
baseline,0.0,0.0,0.9475587121212162
baseline,0.0,1.0,
baseline_plus_md,1.0,0.46153846153846156,0.2024404364625338
baseline_plus_md,1.0,0.5,0.2145039285260257
baseline_plus_md,1.0,0.6,0.2165208333333331
baseline_plus_md,1.0,0.6666666666666666,0.2201874999999998
baseline_plus_md,1.0,0.75,0.2538789335664329
baseline_plus_md,0.8333333333333334,0.7142857142857143,0.2855377122877107
baseline_plus_md,0.8333333333333334,0.8333333333333334,0.3012465034965014
baseline_plus_md,0.6666666666666666,0.8,0.3233545621045598
baseline_plus_md,0.5,0.75,0.3522217261904756
baseline_plus_md,0.3333333333333333,0.6666666666666666,0.6335721468074493
baseline_plus_md,0.16666666666666666,0.5,0.9589531302031332
baseline_plus_md,0.0,0.0,0.9678846361971388
baseline_plus_md,0.0,1.0,
