model,false_positive_rate,true_positive_rate,threshold
baseline,0.0,0.0,inf
baseline,0.14285714285714285,0.0,0.9475587121212162
baseline,0.14285714285714285,1.0,0.2939529637029616
baseline,0.5714285714285714,1.0,0.2393288690476188
baseline,0.8571428571428571,1.0,0.2323750783208021
baseline,1.0,1.0,0.2284861894319132
baseline_plus_md,0.0,0.0,inf
baseline_plus_md,0.14285714285714285,0.0,0.9678846361971388
baseline_plus_md,0.14285714285714285,0.8333333333333334,0.3012465034965014
baseline_plus_md,0.2857142857142857,0.8333333333333334,0.2855377122877107
baseline_plus_md,0.2857142857142857,1.0,0.2538789335664329
baseline_plus_md,0.5714285714285714,1.0,0.2165208333333331
baseline_plus_md,0.8571428571428571,1.0,0.2145039285260257
baseline_plus_md,1.0,1.0,0.2024404364625338
